user,location,text
Bicyruz,Colombia,"Me vale que hayan cancelado el tal #Jamming ese, que hay carnavales de Bquilla… lo mio es ver fútbol. https://t.co/fgixKQCClF"
delmarmariaa,,no quiero ver un chiste más con “yo me jamming”
hugorodriguez,"Bucaramanga, Colombia",Terrible la cantidad de empresas afectadas por cancelación del evento Jamming. Muchos esperaban realizar ventas alt… https://t.co/ZAybLQciwP
juanitosfer,bogota,De aplaudir lo que está haciendo por solidaridad el altruista @FueledByChangua de dar un bono de 70 mil pesos en su… https://t.co/4GWRFOTYLx
dejemeyoledigo,Colombia,@Citytv Lo de Jamming es una muestra de lo que pasa cuando la gente le cree todo a un Charlatan que hizo mil promes… https://t.co/FczSPgaE9G
alaluzpublica1,Ibagué,"Mercacentro dice: PRESENTE ✅, somos la empresa de Todos, estamos contigo, en conjunto con los entes gubernamentales… https://t.co/4unqeaB6T5"
lagroceria,Colombia,@Margaritafor Hay una empresaria que tiene 15 mil platos de lechona que quería vender en el Jamming y no pudo. Los… https://t.co/yFA8uLgXND
frank_castle1,,"Colombia hoy:

50% Fraude electoral 
50% Jamming cancelado."
Portafolioco,Colombia,"Estas son las medidas que tomó la @sicsuper contra los organizadores del @FestivalJamming

Conózcalas ➡️… https://t.co/3gKgmru7pE"
nicolas90vega,,Para todos las personas que se hayan visto afectadas con lo sucedido en el Jamming Festival. @WRadioColombia… https://t.co/vjP8RCtLaW
bayronpinchao,Colombia,Ver los  “‘Me Gusta” de la cuenta de tw del Jamming es una vaina muy triste! De verdad jugaron con los asistentes.
gabrielavargash,Colombia,"no supero el desastre y la falta de respeto del jamming con la gente, colaboradores, artistas, trabajadores, con to… https://t.co/r4jVFyXNIZ"
DjWaic,"Cundinamarca, Colombia",Cómo que la registraduria estaba organizando el jamming casi meten a Diomedes y al Joe en ese cartel Parce 🤨… https://t.co/Yz1bgPxZDg
cesarlopezmusic,"Bogotá, D.C., Colombia",La cancelación del Jamming es una tragedia para muchos hogares que tenían allí una oportunidad de trabajo. Mi solid… https://t.co/bdqaAWeIGN
RagoxLopz,Bogota,"El Bolívar venezolano tiene más valor que las boletas del  Jamming actualmente. 

#JammingFestival2022Estafa… https://t.co/Zvfu0GhD4a"
AlertaTolima,Ibagué,Emprendedores afectados por el Jamming serán ayudados por Comfenalco https://t.co/cGHCcc1ywY
AndreaCuellarP,,"Increíble unión de los Ibaguereños para apoyar a los emprendimientos afectados por el Jamming, algunos con sus líne… https://t.co/zJAvbGTa9Y"
JEISSONRAYOCO,Bogotá Colombia ,"Todos los afectados del Jamming Festival 2022, también tienen derecho a reclamerle a Iván Duque Márquez, con la ren… https://t.co/c3zncqOn7L"
Manuela_PGomez,,"Esta es la cruda realidad y tristeza de la cancelación del Jamming, muchos emprendedores lo veían como una opción p… https://t.co/gYmlXSf2ic"
ViejoBarbado,"Bogotá, DC, Colombia",Resumen del día: Polo Polo compró boletas para el Jamming.
juannita_rp,,"Jamming Festival       //        Yo

                        🤝
  Cancelar a última hora aunque ya lo sospechaban."
_lauraaag_,,Ahora no falta que le echen la culpa a Petro por la cancelación del Jamming 🙄
LaChitti_,,Maneje 5 horas hasta ibague aún sabiendo que se canceló el jamming.
Li_bertad21,"Bogotá, Colombia","@mauricio_460 @sebastian_by97 Jajajaj si, lo del Jamming es culpa de Petro 🙄"
Marce_Martini,,"Estoy tan despechada que no tengo ganas de ir de rumba, lo de Jamming me dejo sin plan todo el fin de semana pero m… https://t.co/IkrFMP1Itj"
CRFelipeFonseca,"Bogotá, Colombia.",Alejandro Casallas organizador del #Jamming saliendo del evento en #Ibague https://t.co/ixq44uQfZO
el_Koalinha,"Bogotá, D.C., Colombia","Ojo los tumban queriendo ayudar ""empresarios"" del jamming"
pmartinezsilva,,Los rolos deberían organizarse y reemplazar el Jamming por otro Open San Felipe.
xGotsux,"in your heart, baby",Yo sí veía a gente hablando de algo jamming y yo ?????¿ ni sabía q era aquí
efraradical,"cali, colombia",Si el jamming me daño el día esto me arreglo la noche!! https://t.co/WFiyAvlUc9
CamiloGomezGo,"Bogotá, D.C., Colombia","Todo lo que pasa con el Jamming Festival, el fútbol y las votaciones. Demuestra el nivel tan paupérrimo que hay en… https://t.co/oYmxxMuQV3"
malban05,Bogotá,A que no adivinan a que alcaldesa local que me ofreció hace como 3 años un stand “gratis” en el Jamming por solo el… https://t.co/MVhUmMtPMa
LorenaSaidiza,,Muy chistosos los memes del jamming pero hay demasiada gente embalada 🥺
zamuxt91,"Ibagué, Colombia",oe marica yo colaborandole a un vendedor que iría al jamming y no me contesta xd el pedido era para las 8pm y desde… https://t.co/05jjQlB0Ls
SylNova_R,Barranquilla/Colombia,Mk qué dolor toda la gente que se endeudó por el Jamming. Qué gente tan hp
jessicavaron_,,Que tusa tan hpta lo del jamming.
AldemarSnchezG1,"Polombia ""Así lo queri"" 🌎 ","Uber Manizales, Jamming.tengo una problemática seria nadie me ha ayudado deudas por falta de apoyo del estado gobie… https://t.co/psLiw98L4K"
MareoenlaMarea,Donde sea que suene Bob Dylan.,Ni el Jamming fue tan fugaz como el paso de Polo Polo por el congreso.
pgls17,,@PereiraYPereira Ahí están los planes https://t.co/LUR5oVIBwu
leveterinaire_,,Los del jamming se están metiendo a los conjuntos del lado.
Ferr504,"Manizales, Caldas, Colombia.","Parce, tremenda la tragedia para los emprendedores que iban a recuperarse económicamente vendiendo sus cositas en el Jamming, qué dolor."
