user,location,text
Andy_RomeroC,"Valledupar, Colombia","¡Bailalo Cacique!
#VoyAVotarPorPetro 
#MiVotoEsSecretosky 
#ElCambioEnPrimera https://t.co/e8O4i4mFDy"
linulera,España,"Vamos bien queridos a ""voltiarle"" está encuestica a mis amigos Uribistas 🤣🤣🤣 #ElCambioEnPrimera https://t.co/vFGj7GEOyh"
Hyrgola,Colombia,@Zuletalleras El todos lados hay personas que reciben balas por una causa ... Por esta hay que mover el #ElCambioEnPrimera
A_Minombre,Santiago de Cali,"#ElCambioEnPrimera 
Ahora que mencionan a la CIDH porque suspenden a Quintero pregunto; ¿por qué esto no es un golp… https://t.co/fLigjJPOrC"
steban_gm,Ibagué,"Que se ha encargado de empobrecer más a nuestra clase trabajadora.

👍🏼 Votemos por el CAMBIO 👍🏼

👎🏼 ABAJO EL MAL GO… https://t.co/cNcyamOelg"
Parcejul,"Bogotá, D.C., Colombia","¿Dónde vas a estar hoy a las 5:00 PM, con qué fin?, y porqué en la Plazoleta de la Alpujarra de Medellín en moviliz… https://t.co/fDxUxubtGL"
cesaro11,,Inteligencia y democracia aspirando a la presidencia... #ElCambioEnPrimera https://t.co/BoIdgOr9IP
FabianConR,,"Quintero dijo #ElCambioEnPrimera y con el único candidato que lo asociaron fue con Petro.

Ya saben quién es el ÚNI… https://t.co/b8PYuJQOxp"
Gonzalo53554979,Bogotá,#ElCambioEnPrimera #QueSancionenA ⚠️MUY GRAVE ⚠️que el alcalde de Medellín @QuinteroCalle se burle de la SANCION ⚠️… https://t.co/eW0L3wJPFM
Gonzalo53554979,Bogotá,@jarizabaletaf #ElCambioEnPrimera #QueSancionenA ⚠️MUY GRAVE ⚠️que el alcalde de Medellín @QuinteroCalle se burle d… https://t.co/DQX7vLDXzV
Johana8luna,Colombia,#ElCambioEnPrimera. ¿Alguna duda? https://t.co/nSfa0Gn7Rx
psicomarian55,,Colombia potencia mundial de la vida Petro #MiVotoEsSecretosky #ElCambioEnPrimera @selmoluis https://t.co/O12IkVBknG
yorckee,Uno más de este platanal! ,"@MariaFdaCabal …Jajajajja
Vieja menopáusica! 

#Colombia #Bogota #Cali #Medellin #Barranquilla #Ibague #Bucaramanga… https://t.co/0AKR7llC3t"
JLUISPB,Colombia,"#ElCambioEnPrimera 5 pájaros (de los más carroñeros, con el perdón de los animalitos) de un solo Voto. https://t.co/3XSLNym1s2"
JPOLA01,"Cali, Colombia","Burocracia y clientelismo. De ahí, que muchos defienden el continuismo. #ElCambioEnPrimera https://t.co/blF8xibIQc"
antoniobarrios0,,#ElCambioEnPrimera a la derecha se retrocede!!!
KatheReinoso_,,#QueSancionenA todos los que no tengan Cerveza Andina en su nevera. #TodoPorProbar #ElCambioEnPrimera
NoMasUribeNO,Colombia,@datoatipico @QuinteroCalle @petrogustavo @consejodeestado @CIDH El presente de Colombia es igual a Venezuela: Gobi… https://t.co/Xdsiwb2ayt
BrayanMosqueraS,"Villavicencio, Meta, Colombia.",¿Alguien quiere pensar en el Alcalde de Ibagué Andrés Hurtado? 🤣🥴 #ElCambioEnPrimera 😯 @Alcaldiaibague
Didyoez,Bogotá D.C.,"Que dice la @PGN_COL que de ahora en adelante los vehículos 🚗 deben arrancarlos en 2da

#ElCambioEnPrimera… https://t.co/I2ZqGvgjhQ"
TiteresAnti,Brampton,"El problema es que el uribismo va a entregar a Colombia desvalijado, sin seguro, sin tecnomecánica, con 4 años de i… https://t.co/PfzpbjOxuf"
LeMorosh,Colombia,"A ver, quién es?? (Esta no la adivinan)
""Si gana Petro me voy del país""
#ElCambioEnPrimera https://t.co/ThkaC18tiD"
Mamertos0,"Cali, Colombia.",¡#ElCambioEnPrimera es una realidad!!!😍 https://t.co/tPtpcF6CAQ
SoyAnastasio_,Colombia,"@IvanDuque @PGN_COL
En verdad creyeron que con una funcionaria de bolsillo van a ganar??
PUES NOS VEMOS EN LAS URNA… https://t.co/epNnrh61Ac"
El_Javi_U,Polombia,"@petrogustavo Petro tiene re claro el país y lo que pasa en él.
#ElCambioEnPrimera"
NoMasUribeNO,Colombia,@HOLLMANMORRIS @petrogustavo @QuinteroCalle @GNavasTalero @GustavoBolivar @AABenedetti @ammejiaaguado… https://t.co/Qx7y8zuQbT
LuisEvelioBedo2,,#YoSoyQuintero . todos los caminos conducen al matarife del uberrimo que es quien da la orden.#ElCambioEnPrimera .… https://t.co/bLTP37FfkA
Leomoracon,,"@vanedelatorre #LoDeQuinteroEs retaliación política porque el candidato del uribismo, alias QUICO, no avanza...Está… https://t.co/rnyOox1wyN"
jlmesac,,@VargasvilCol @QuinteroCalle ¿Éste calvete no es quién tiene cuentas pendientes por acoso a menores de edad (pedofi… https://t.co/x9SJeto21N
lina_cuenta,,#elcambioesenprimera para acabar los clanes uribistas y su plan diabólico de corrupción y amenazas.… https://t.co/89dK8GiDwj
DerlyIbague,"Bogotá, D.C., Colombia",Vamos Colombia a votar  #ElCambioEnPrimera
unahintante,,Estan asustados se viene #elcambioenprimera
Mr_Km,Medellin - Colombia,"La procuraduría de bolsillo del peor gobierno de Colombia no respeta la democracia, le tienen miedo a… https://t.co/SbqekpQ10D"
Campos_Kevin97,"Cali, Colombia","Mi amor, venga y me agarra la palanca y mete #ElCambioEnPrimera. 😏😂"
NoMasUribeNO,Colombia,"@jkrincon El presente de Colombia es igual a Venezuela: Gobierno (uribista) viola de frente la constitución, coapta… https://t.co/PezYBnFrDm"
jkaskando,,"#ElCambioEnPrimera El pichón de mafioso se cayó en primera y se raspó ,se fue  llorando a darle quejas al patrón de… https://t.co/jfvhPcYden"
