user,location,text
Davidcito_D87,Entre Medellín y Mexico DF,"@TheoGelves @petrogustavo @CIDH me parece curioso es que se hable del mandato popular, pero el alcalde evadio el so… https://t.co/gP9wxtiovr"
ivandacho,Ciudad Grito,@DW_Camacho @ElmerFdoGallego @ariztmendy No seguir las recomendaciones de la CIDH puede traer bastantes repercusion… https://t.co/Y3UdXeO1jf
faicy_perez,"Medellín, Colombia",@petrogustavo @CIDH De paso que venga eintervebga a la @Registraduria que le apareció más de medio millón de votos al partido de petro
JaioAlonso,,@Danielbricen Hay q hacer valer la constitución. Nada de estar imponiendo legislación de la CIDH.
Richardquilla,,"@Manoloparis_ @petrogustavo @CIDH A ver hijo, en Derecho además del control de constitucionalidad, existe el contro… https://t.co/YdKdLs02Au"
d_pinilla,,"@petrogustavo @CIDH Un ASESINO, criticando dizque matanzas.
Mojo panty.??? https://t.co/Vyctamprfz"
LoaizaGilson,,@petrogustavo @CIDH ¿Cómo les parece? Quiere dizque ser presidente y anda por todos lados generando odio 😡 e incita… https://t.co/xId7Ce94r1
lunalle49868769,,"@petrogustavo @CIDH Cuando acabemos con este pedazo de mierda, estaremos tranquilos https://t.co/ndYKo5dva5"
dianaroab70,,@petrogustavo @CIDH Rápido. Amigos en la CIDH. Q ayuden
johan94ocampo,medellin - colombia,@petrogustavo @CIDH Yo te apoyo pero la situación de desventaja estaba servida y el alcalde les dio tremendo papaya… https://t.co/4EgLHliZu0
diotson,,@DarioEnriqueDa1 @PGN_COL @MinTIC_responde @petrogustavo @RoyBarreras @migueldelrioabg @CIDH @ONU_es @OEA_oficial… https://t.co/Vca99IO7Ns
MichaelRamosja5,,@UPPN19 @Mov19leon @M19AMatagalpa @MNAutoconvocado @UnidadJuvenilNi @MadresDeAbril @CIDH @ColectivoNunca @TheBJHRF… https://t.co/EbpKHONYjq
SeTenia51595036,Bogotá D.C.,@verdades_unp @Rodrigo50221858 @DefensoriaCol @UNPColombia @CIDH @DanielPalam @FiscaliaCol Lastimosamente la… https://t.co/sVwLcl8V8a
ARGRGOG,,@petrogustavo @CIDH Que investiguen esa senora
SoyReina60,Lejos de los cumas😊,@cnashr @CIDH @ONU_derechos Jajaajajjaajajj! empezaron el show decadente los flaites estos...
Davidcito_D87,Entre Medellín y Mexico DF,"@petrogustavo @CIDH y porque entonces no se sometio a la consulta d ela revocatoria, eso es el mandato popular o no???"
dianaalesanchez,,@VASTA_MX @PJCDMX @FNMMX2021 @cam_cai @FNCVVICARIA @brozoxmiswebs @CarlosLoret @CiroGomezL @Milenio @CIDH @MESECVI Juzgado 15
jaimeco83036524,,"@petrogustavo @CIDH Ya vas a empezar a incendiar , mandarás a la primera línea ?"
lunalle49868769,,@petrogustavo @CIDH A esta escoria la quemamos en las urnas
mljavieramos,,@petrogustavo @CIDH Oiga IGNORANTE! Pinturita es presidente? Y asi quiere gobernar el pais?
Esteman1312,"Bogotá, D.C., Colombia",@LaRotta_Abogado @QuinteroCalle @CIDH @petrogustavo @CConstitucional @PGN_COL Hay más influencia política en la pro… https://t.co/Per0vM5uzU
DiegoDilusa39,,@armandoneira @CIDH @ELTIEMPO Pero no en ibague. Ahí se ve como funciona la izquierda.
JuanFdoLondono,"Lima, Peru","@SantiagoVargasN @PGN_COL @QuinteroCalle @CorteIDH Si es un delito, entonces hay una investigación penal. Y eso es… https://t.co/te1kaP1sho"
JhonJairoClav16,,"@petrogustavo @CIDH Usted mismo lo ha dicho señor,  participa en política activamente. La procuraduría solo está cumpliendo con su deber."
HannerConcejal,"Villavicencio, Colombia",La misma CIDH manifestó que la Procuraduría no debe suspender los efectos del voto popular. Por tanto es una decisi… https://t.co/3UbXU10TZw
VASTA_MX,"Mexico, ME",Frente a juzgados familiares del @PJCDMX se manifiestan este #11M madres que defienden a sus hijos de la… https://t.co/MWdqzYi1Uk
CarlosM45738253,,@petrogustavo @CIDH Pero cual golpe de Estado!!!!! Uds participan en politica y nadie dice nada??? Si es para Uribe… https://t.co/dgzD8fALkx
hugouribev,Panamá,"@FranzKafe @petrogustavo @CIDH @AlvaroUribeVel Huele a Bodeguero Petrista...

Y de los malos. https://t.co/CkxWDZXRbC"
MiGc82165957,Tuluá ,"@petrogustavo @CIDH No se puede esperar menos, ahora los Paisas van a tener que aguantar la violencia por parte de… https://t.co/YfAzNYAjp1"
Antonio163016,,"¿@KarimKhanQC  por qué protege criminales como  Francisco Barbosa, Nestor Humberto Martinez Neira y al gobierno nar… https://t.co/6vyvm2eLmb"
AleydaG62122382,,"@letocayo @PizarroMariaJo @petrogustavo @CIDH @QuinteroCalle @ClaudiaLopez Tocaio según usted,el único que puede pa… https://t.co/MWLtHHYbcn"
ginapa2016,,@PizarroMariaJo @petrogustavo @CIDH @QuinteroCalle Golpe de estado del.m19 en el palacio de justicia donde perdieron la vida inocentes
lamoradacali,🇨🇴Colombia🇨🇴,"La dicha de ver al @AlcaldiadeMed suspendido durará poco, tan pronto llegue a la @CIDH será restituido en minutos;… https://t.co/FPJSTFKiZt"
Buscapleitos79,,"@cnashr @CIDH @ONU_derechos Ojalá la apaleen bien apaleada, a ver si así aprende a vivir en sociedad."
spservatana,Japón,@petrogustavo @CIDH Directo a La canonización 😇 y se lo cree 🙃
Antonio163016,,"¿@KarimKhanQC  por qué protege criminales como  Francisco Barbosa, Nestor Humberto Martinez Neira y al gobierno nar… https://t.co/PL128h7tRV"
ivandacho,Ciudad Grito,Lo mas descarado es que llenaron de mas burocracia la procuraduría para disque cumplir el fallo de la CIDH cuando q… https://t.co/fZTYi2g8Oy
felipesguitar,USA,@JNE_Peru SÍ HAY PRUEBAS. ¡Tiemblen zurdos! #OEA @CIDH
rrincon1963,,@AldumarForeroO @dianita8404 @petrogustavo @CIDH @GustavoBolivar es el jefe y auspiciador de los vándalos y terrori… https://t.co/bduKO0deqk
Sergio_Echeverr,"Medellín, Colombia","@piedadcordoba @CIDH @petrogustavo Cada que veo a esta señora opinar, me pregunto porque no esta presa"
Andre21mp,,@petrogustavo @CIDH Ya estás incitando a tus bandoleros seguidores cierto payaso respeta q si tu alcadecito lamebot… https://t.co/945YhoGVWq
superbancosEC,"Quito, Ecuador",@mvaca1 @LassoGuillermo @Isaac_Herzog @Presidencia_Ec @IsraelinSpanish @USAenEspanol @A_delPacifico… https://t.co/2rpl9h0x47
Slider06,,"@petrogustavo @CIDH 😂😂😂😂😂😂😂😂😂
Lo noto, Asustado!!
😂😂😂😂😂😂😂😂😂"
jc_fontech,,"@jorgeandresbell @OskarconK_ @santiagoangelp @CIDH Falso!, si es elegido por voto popular, no se puede."
superbancosEC,"Quito, Ecuador",@mvaca1 @LassoGuillermo @Isaac_Herzog @Presidencia_Ec @IsraelinSpanish @USAenEspanol @A_delPacifico… https://t.co/Nzuvqata8M
kikesanchezb,"Bogotá, D.C., Colombia",@petrogustavo @CIDH Lo suspendieron por malo. Lo único que hizo en Bogotá fue robar. Y aún así estos Petroburros cr… https://t.co/P6nDUWqGsp
superbancosEC,"Quito, Ecuador",@mvaca1 @CMonteroOficial @Presidencia_Ec @CJudicaturaEc @CorteNacional @CorteConstEcu @CIDH @CorteIDH @ONU_derechos… https://t.co/GUPhHiINdO
DiegoOc29808362,cali ve,"@frankbvargas @alejarojas_g Pero tampoco puede suspender a ningún alcalde que ganó por voto popular, eso es delito,… https://t.co/KxXVeX9TdO"
IAmPepinillo,"Cali, Colombia","@ariztmendy Estudien, para que no queden en ridículo públicamente por ignorar las normativas de la CIDH. 🙂"
superbancosEC,"Quito, Ecuador",@mvaca1 @CMonteroOficial @Presidencia_Ec @CJudicaturaEc @CorteNacional @CorteConstEcu @CIDH @CorteIDH @ONU_derechos… https://t.co/hp4RCXynW8
DiegoFerroM,,"@ElJuliSastoque Las vaguedades y ambigüedades ridículas del centro. Deje la demagogia , la sentencia de la CIDH es… https://t.co/UAH00EPBxb"
EnriqueLaborde,,"@petrogustavo @CIDH Joda, pooor favoooor, sin formular cargos y, lo peor, sin escuchar descargos, sanciona; bueno y… https://t.co/HaL95V8CpR"
AleydaG62122382,,@PizarroMariaJo @petrogustavo @CIDH @QuinteroCalle No son errores! Es un plan como el del paro armado del Clan del… https://t.co/zkdtcIHJdm
ManuelT10596642,,@piedadcordoba @CIDH @petrogustavo La corrupción la manejan los narcotraficantes y en todos los partidos políticos ay narcos
defensorpuro082,,@AntonioCR1974 @MAndreaNieto @CIDH Antonio. A esa mujer se  lo tienes que explicar con plastilina . Duro que le entre! 🥫🥫🥫🥫🥫🥫🥫🥫🥫🥫
marjedic2009,Colombia,"@petrogustavo @CIDH Petro estas de psiquiátrico
#PetroJamásSeráPresidente https://t.co/ZYeQcReqaZ"
carlitosciro3,"Medellín, Colombia",@petrogustavo @CIDH Hubiera tenido una legalidad más expresada si hubiera suspendido al registrador por los actos i… https://t.co/9jQDzuhm2I
ElizabethOque10,"Barranquilla, Colombia",@piedadcordoba @jhonJairoBetan1 @CIDH @petrogustavo La Procujueza Cabello es tan obediente q a pesar de que sabe q… https://t.co/6cTuIri4k5
ivandacho,Ciudad Grito,@ariztmendy Estudien para que sepan que a la CIDH no se le debe hacer conejo.
AlejandroSBasso,Bogotá - Miami - Madrid,"@AlucardKey @PedroQuintero09 @petrogustavo @CIDH Claro que puede. 

Los derechos políticos son postulación, proseli… https://t.co/00enKZxBGS"
ginapa2016,,"@petrogustavo @CIDH Defender el voto, cuando vos tomabas las armas y se tomaron el palacio de justicia donde murieron civiles, no jodasssss"
mmamolinar,,@petrogustavo @CIDH Este Man es un diablo
meliramigar,"Medellin, Colombia","Al alcalde tampoco lo puede suspender la Procuraduría, va en contra de la CIDH… por si no sabían. https://t.co/FSRkYZg8OA"
Tuberquia3,"Medellín, Antioquia, Colombia",@petrogustavo @CIDH Un procurador que obró legalmente y basado en hechos en los que se evidenció su pésima gestión… https://t.co/F3FFPhWPvd
PinoKiefer,"Bogotá, D.C., Colombia","Una plana para todes:

Una es la CIDH y otra la Corte IDH

Una es la CIDH y otra la Corte IDH

Una es la CIDH y otr… https://t.co/UvRPzrIzPT"
jccontreraseme,Colombia,"@CarlosT20801682 @macp20000 @petrogustavo @CIDH No amigo, no creo. Es lo q sabíamos iba a suceder. Aunque tengan el… https://t.co/Z4xvtD5RnT"
Antonio163016,,"¿@KarimKhanQC  por qué protege criminales como  Francisco Barbosa, Nestor Humberto Martinez Neira y al gobierno nar… https://t.co/iFpdUL9oDf"
JavierM58463003,"Barranquilla, Colombia","@petrogustavo @CIDH Golpe de estado fue el que le dieron al pueblo cuando ganó el NO
Y desconocieron el resultado y… https://t.co/8f5ocyf6iG"
luisenesimo,,"@QuinteroCalle #NoMasUribe
#CambioPorLaVida
Quintero se queda. procuradora viola le ley de CIDH e interviene en política sin  ningún pudor."
Tuberquia3,"Medellín, Antioquia, Colombia",@petrogustavo @CIDH Defender el voto popular es permitir que se vote revocatoria en contra de su títere. A ver si d… https://t.co/Hy316qtyty
AngelaZuluagaT,Colombia,El alcalde de Ibagué dijo: “me identifico” y la procuraduría lo suspendió; no lloró hasta el amanecer y puso a la g… https://t.co/E19fk3UtP5
mlhgutierrez,,"@PDHgt 
@CIDH 
Esto es inaudito  !!! https://t.co/wuUUZBoQae"
Harold11098143,"Bogotá, D.C., Colombia",@misaelo25 @AlvaroPoGonzlez @PGN_COL Debido a su ignorancia le voy a dar una luz… la CIDH es clara que ningún candi… https://t.co/8oqqgYJfnT
raficon69,,"@petrogustavo La CIDH, interfiere la Constitución P. de Colombia? Que prohíbe la participación en política de funci… https://t.co/GeegRnCt8M"
oscarco43886977,,Ósea que la entrometida CIDH puede meter sus narizotas y los mantecos mamertos alcaldes o el q le de la@gana está b… https://t.co/wf25DwRkUU
Ramonero1927,Rusia,@ariztmendy Estudie para que al menos sepa que dice el CIDH... Petardo.
pepajla,,"@piedadcordoba @CIDH @petrogustavo La violadora es usted, mirese en un espejo y encontrará la declaración de un ser humano."
herconavi,,"@CeciliaOrozcoT @FicoGutierrez La Procuradora se le olvidó que ella no puede suspender a alcaldes y otros, ya hubo… https://t.co/VTrXke0ozY"
The76593547,,"@giova7023 @petrogustavo @CIDH Si compraron firmas como quiere??? Todo no es plata de traquetos, hay que ser honest… https://t.co/CievSukbiZ"
lopezjaras,Eje Cafetero.,"@IglesiasJulio87 Habrá balcón en la alpujarra seguido y vociferante, igualito a lo que hizo el mentor el el Liévano… https://t.co/qJQbk7P9s1"
AndersonBetanC,"Bello, Medellin Colombia ",@Krdona_Fer @CamiloPrietoVal @CIDH Y cuando la solidaridad con el alcalde de Ibagué????
pepajla,,@piedadcordoba @CIDH @petrogustavo Te apreta el turbante????
Linchen285,"Caracas, Venezuela",@luciaeugenia @StateSPEHA @StateDept @CIDH @ONU_es @onuvenezuela @WSJ @nytimes @Telemundo @Pontifex_es @edhcuba Nue… https://t.co/uAWv0KqJ61
Meioyo1,,@armandoneira @CIDH @ELTIEMPO Miseasble asesino...
e0ce9c0d08bc4ce,"San Fernando De Apure, Venezue",@petrogustavo @CIDH Todos a la calle
2431Williamj,,@armandoneira @CIDH @ELTIEMPO Osea por que la procuraduría cumplen con la ley y la constitución es golpe de estado😂… https://t.co/6kLObJsxBQ
Maurici66219780,,"@SandraGutti @megalejo79 @petrogustavo @CIDH No hay otra forma, lo que hizo la procuradora solo tiene un nombre."
ContigoCartago,"Cartago, Colombia","#CIDH Caso de Daniel Quintero, avecina controversia jurídica ante tribunales nacionales por fallo interno de Procur… https://t.co/oQcJDhYTAv"
cm620,,"@AsambleaEcuador hay observaciones emitidas por ustedes y recomendaciones por @CIDH @ONU_es Pero, no se ha hecho na… https://t.co/uPHGDNacNA"
321Porti,,@DarioEnriqueDa1 @PGN_COL @MinTIC_responde @petrogustavo @RoyBarreras @migueldelrioabg @CIDH @ONU_es @OEA_oficial… https://t.co/OwqhA5gM4L
lufepore,,@lcvelez A Petro no lo benefició la sanción sino la cidh y las cortes quienes sirven a narco terroristas.
SusanaD71681370,,@petrogustavo @CIDH Jajajajaja
exadecoarrecho,,"@petrogustavo @CIDH De poder puede. En Colombia todo se puede, manda la mafia."
