user,location,text
Elcurisays,"Medellín, Colombia","Cómo en las grandes partidas de ajedrez, petro sacrificó una Torre (Quintero), para garantizar un jaque mate. #Quintero"
Yilmanzano,"Le Mans, Francia",La angustia de la corrupción materializada en la suspensión ilegal de #Quintero es la evidencia que… https://t.co/W8bNodULdT
CmarcaFederal,La Bodega de Petro,"Mas descarados no pueden ser en la @PGN  

#Quintero 
#ElCambioEnPrimera https://t.co/9LXbKQmFQF"
Abejita651,,@CamiloRomero @QuinteroCalle #Quintero no pasaran
Yilmanzano,"Le Mans, Francia","#Quintero le manda a decir @MariaFdaCabal que entienda que es mejor comprar votos que decir ""Cambio o primera"" https://t.co/dhBGN8mope"
Felipe200395,"Bogotá, D.C., Colombia","#Quintero Suspendido por participar en Política? Definitivamente en Colombia no hay DEMOCRACIA!
CUANDO DUQUE PARTIC… https://t.co/YT023maj1q"
mariansofiasoto,Colombia,"Lo que sí puede hacer es poner en conocimiento a la justicia penal para el debido proceso, ya que quien sí puede da… https://t.co/rLVaxz0LHl"
Felipe200395,"Bogotá, D.C., Colombia",#ElCambioEnPrimera Que sea más tendencia. En COLOMBIA NO HAY DEMOCRACIA. EL URIBISMO NO HALLA COMO QUITAR A… https://t.co/01smEFS021
mane_sabio,Versalles-Connecticut,"#Quintero 
#ProcuraduriaDeBolsillo 
@PGN_COL 
#QueSancionenA 
Los alcaldes que aparecen con ficky en esta reunión https://t.co/9odCqwmMi7"
juanduquega,Colombia,"¡Vamos todos a defender la democracia! 

#SomosElCambio #DanielSeQueda #Quintero https://t.co/8A97CPEX54"
CarabValparaiso,"Valparaíso, Chile","Carabineros de la Subcomisaría #Quintero se reunieron con la Fiscalía Local, la PDI y los encargados de seguridad c… https://t.co/UIswr119e4"
Olethros70,,#Efemérides #Constantinopla #Fontenoy #SanJuanDeAcre #India #Cela #Fonseca #JaljinGol #EbenEmael #Attu… https://t.co/otWxAO97gm
RobertoMTico,"Bogotá, D.C., Colombia",La ORDEN la dio el IMPUTADO o Sr. de #ElGolfo (#Matarife). Estoy con #ElCambioEnPrimera. Estoy con #Quintero https://t.co/0c48gTcKFv
richard_jug,"Cúcuta, Colombia","La suspensión de #Quintero nos avisa que las hienas lo están atisbando para devorarlo. 
Esa jugada de la procurador… https://t.co/oFXKg75cg0"
richardspg,Bogotá D. C. Colombia,Así es recibido el próximo presidente de Colombia 2026 - 2030 🇨🇴 #Quintero #quinteropresidente2026 https://t.co/pyigbP6S3E
JuanFel20319965,,El taxi en el que voy esta escuchando @BluRadioCo y me doy cuenta de que esa emisora es mucho peor de lo que había… https://t.co/coGnrvjcsr
lypmultimedios,San Juan del Río,"#Quintero ha terminado por desatar una #tormenta política de enormes proporciones que #Petro, el favorito de todas… https://t.co/NpqRMZs0Qp"
HerazoSalazar,"Salamanca, España","Actuó bien la procuraduría al sancionar a Quintero por participación política?
#Procuraduria 
#ColombiaVota2022 
#Quintero"
richardspg,Bogotá D. C. Colombia,Mi nombre es Richard y quiero que @QuinteroCalle  sea mi presidente 2026 🇨🇴 #Quintero #quinteropresidente2026 https://t.co/EaGmeFWFUO
LuisFdoLedesma,"Medellín, Antioquia","DUQUE CHAO!!!
Vamos a ganar en primera vuelta!!🇨🇴
#elcambioesenprimera 
#Quintero https://t.co/vZ1WIudO0Y"
antoqueno,,"A @QuinteroCalle hizo el cambio en primera, la de transito Cabello le puso comparendo, y gano Petro 😆 #Procuraduria… https://t.co/YkZvPrIp0J"
MalejaV4,"Medellín, Colombia","@NoticiasCaracol Jajaja metió la pata? Qué análisis más burdo, abusó de su función, prevarico es más adecuado.… https://t.co/4B5acB7Ok1"
kevynfabrizzio_,"Medellín, Antioquia","Siempre y cuando la ley sea para todos,  no es permitido que en la cara de nosotros el mismo Zapateiro y Duque haga… https://t.co/YyLBoHI9tf"
joaquinmu,Cúcuta. Colombia.    ,Hoy @petrogustavo Ilamando a defender la democracia que él y sus secuaces intentaron tantas veces violar desde el M… https://t.co/w3HLjsaQqS
HSBnoticias,Bogotá - Colombia,Candidatos se refirieron a la decisión de la Procuraduría de suspender a Daniel Quintero https://t.co/AT6yhbhquv… https://t.co/citgWUGIIq
